case,n_customers,algorithm,time_ms,cost,valid_capacity,vehicles
cvrplib_Vrp-All_E-n22-k4,21,Greedy,0.12180001067463309,589.4211147764399,True,4
cvrplib_Vrp-All_E-n22-k4,21,Clarke-Wright,0.22659999376628548,388.77228583912927,True,4
cvrplib_Vrp-All_E-n22-k4,21,Sweep,0.22149999858811498,398.3046154298596,True,4
cvrplib_Vrp-All_E-n23-k3,22,Greedy,0.12670000432990491,746.7344337908839,True,3
cvrplib_Vrp-All_E-n23-k3,22,Clarke-Wright,0.2384999970672652,621.0871923371064,True,3
cvrplib_Vrp-All_E-n23-k3,22,Sweep,0.9190999990096316,635.1549515856804,True,3
cvrplib_Vrp-All_E-n30-k3,29,Greedy,0.34640000376384705,639.6936366530506,True,3
cvrplib_Vrp-All_E-n30-k3,29,Clarke-Wright,0.6556000007549301,534.4482364968419,True,4
cvrplib_Vrp-All_E-n30-k3,29,Sweep,1.3977999915368855,570.3036710124333,True,3
cvrplib_Vrp-All_E-n33-k4,32,Greedy,0.3949000092688948,1002.1898021520249,True,4
cvrplib_Vrp-All_E-n33-k4,32,Clarke-Wright,0.7074000022839755,843.0977933340924,True,4
cvrplib_Vrp-All_E-n33-k4,32,Sweep,1.5007999900262803,956.0186665416342,True,5
cvrplib_Vrp-All_E-n51-k5,50,Greedy,0.5581000004895031,711.4987137910165,True,5
cvrplib_Vrp-All_E-n51-k5,50,Clarke-Wright,1.1898999946424738,584.6372084179404,True,6
cvrplib_Vrp-All_E-n51-k5,50,Sweep,1.6808000073069707,636.3568092004848,True,6
cvrplib_Vrp-All_E-n76-k10,75,Greedy,1.0515999892959371,1205.8484323346952,True,10
cvrplib_Vrp-All_E-n76-k10,75,Clarke-Wright,5.389199999626726,900.2635285176875,True,10
cvrplib_Vrp-All_E-n76-k10,75,Sweep,1.803999999538064,938.448194080769,True,11
cvrplib_Vrp-All_E-n76-k14,75,Greedy,1.512399991042912,1446.8530389839432,True,15
cvrplib_Vrp-All_E-n76-k14,75,Clarke-Wright,8.767899998929352,1073.4317245426723,True,15
cvrplib_Vrp-All_E-n76-k14,75,Sweep,1.151799995568581,1206.0862426460226,True,16
cvrplib_Vrp-All_E-n76-k7,75,Greedy,1.0456000018166378,1070.1896637874615,True,7
cvrplib_Vrp-All_E-n76-k7,75,Clarke-Wright,2.58840000606142,737.7368285667058,True,7
cvrplib_Vrp-All_E-n76-k7,75,Sweep,3.468599999905564,765.8109534065397,True,7
cvrplib_Vrp-All_E-n76-k8,75,Greedy,1.066600001649931,1149.4053041115064,True,8
cvrplib_Vrp-All_E-n76-k8,75,Clarke-Wright,2.543499998864718,794.7405140283122,True,8
cvrplib_Vrp-All_E-n76-k8,75,Sweep,3.0029999907128513,864.1325046938966,True,8
cvrplib_Vrp-All_F-n135-k7,134,Greedy,3.385800009709783,1784.3362143592603,True,7
cvrplib_Vrp-All_F-n135-k7,134,Clarke-Wright,9.904499995172955,1219.320968775068,True,7
cvrplib_Vrp-All_F-n135-k7,134,Sweep,23.646400004508905,1552.716574753011,True,8
cvrplib_Vrp-All_F-n45-k4,44,Greedy,0.4363999905763194,1233.5680413002603,True,4
cvrplib_Vrp-All_F-n45-k4,44,Clarke-Wright,1.44900000304915,739.0186816073488,True,4
cvrplib_Vrp-All_F-n45-k4,44,Sweep,4.16179999592714,774.0957147147535,True,4
cvrplib_Vrp-All_F-n72-k4,71,Greedy,0.9845000022323802,368.26670955126446,True,4
cvrplib_Vrp-All_F-n72-k4,71,Clarke-Wright,2.1828000026289374,256.18620874610554,True,5
cvrplib_Vrp-All_F-n72-k4,71,Sweep,12.94169999891892,333.40549642991584,True,5
cvrplib_Vrp-All_G-n262-k25,261,Greedy,13.554799996200018,9065.328791198755,True,25
cvrplib_Vrp-All_G-n262-k25,261,Clarke-Wright,45.017800002824515,5937.83453974267,True,25
cvrplib_Vrp-All_G-n262-k25,261,Sweep,17.479300004197285,6990.101777633974,True,27
cvrplib_Vrp-All_M-n101-k10,100,Greedy,1.893499997095205,1311.4998703102585,True,10
cvrplib_Vrp-All_M-n101-k10,100,Clarke-Wright,4.776100002345629,833.5085732089907,True,10
cvrplib_Vrp-All_M-n101-k10,100,Sweep,4.579300002660602,1012.6235389547097,True,10
cvrplib_Vrp-All_M-n121-k7,120,Greedy,2.6114000065717846,1565.3350227437695,True,7
cvrplib_Vrp-All_M-n121-k7,120,Clarke-Wright,6.873300008010119,1068.1406945079716,True,7
cvrplib_Vrp-All_M-n121-k7,120,Sweep,14.89519998722244,1446.7875443799896,True,8
cvrplib_Vrp-All_M-n151-k12,150,Greedy,6.494000001111999,1426.2300077451025,True,12
cvrplib_Vrp-All_M-n151-k12,150,Clarke-Wright,24.65229999506846,1133.4314748877262,True,12
cvrplib_Vrp-All_M-n151-k12,150,Sweep,13.48629999847617,1201.4206106840704,True,12
cvrplib_Vrp-All_M-n200-k16,199,Greedy,7.223599997814745,2034.3965714246406,True,17
cvrplib_Vrp-All_M-n200-k16,199,Clarke-Wright,46.37709999224171,1395.7361007732934,True,17
cvrplib_Vrp-All_M-n200-k16,199,Sweep,14.501600002404302,1489.9223952805578,True,17
cvrplib_Vrp-All_M-n200-k17,199,Greedy,9.059000003617257,2034.3965714246406,True,17
cvrplib_Vrp-All_M-n200-k17,199,Clarke-Wright,33.07040000800043,1395.7361007732934,True,17
cvrplib_Vrp-All_M-n200-k17,199,Sweep,14.704499990330078,1489.9223952805578,True,17
cvrplib_Vrp-All_P-n101-k4,100,Greedy,1.9543000089470297,995.7973443035299,True,4
cvrplib_Vrp-All_P-n101-k4,100,Clarke-Wright,4.834899998968467,765.3793981291982,True,4
cvrplib_Vrp-All_P-n101-k4,100,Sweep,41.32889999891631,817.5659825927792,True,4
cvrplib_Vrp-All_P-n16-k8,15,Greedy,0.11390000872779638,499.4408078911103,True,8
cvrplib_Vrp-All_P-n16-k8,15,Clarke-Wright,0.17549999756738544,478.77113006541214,True,9
cvrplib_Vrp-All_P-n16-k8,15,Sweep,0.08490000618621707,558.8324603177223,True,10
cvrplib_Vrp-All_P-n19-k2,18,Greedy,0.12009999772999436,301.7480840160281,True,2
cvrplib_Vrp-All_P-n19-k2,18,Clarke-Wright,0.2412999892840162,237.89277234358858,True,2
cvrplib_Vrp-All_P-n19-k2,18,Sweep,0.45089999912306666,264.0467932609041,True,3
cvrplib_Vrp-All_P-n20-k2,19,Greedy,0.1281000004382804,309.91461936454175,True,2
cvrplib_Vrp-All_P-n20-k2,19,Clarke-Wright,0.21440000273287296,233.99511295328978,True,2
cvrplib_Vrp-All_P-n20-k2,19,Sweep,0.5017000075895339,278.01679835651134,True,3
cvrplib_Vrp-All_P-n21-k2,20,Greedy,0.1379000023007393,256.92146117192806,True,2
cvrplib_Vrp-All_P-n21-k2,20,Clarke-Wright,0.6785000005038455,236.1854314941382,True,2
cvrplib_Vrp-All_P-n21-k2,20,Sweep,0.8729999972274527,220.10351966662964,True,2
cvrplib_Vrp-All_P-n22-k2,21,Greedy,0.4099000070709735,260.2351696709128,True,2
cvrplib_Vrp-All_P-n22-k2,21,Clarke-Wright,0.2852000034181401,239.49913999312295,True,2
cvrplib_Vrp-All_P-n22-k2,21,Sweep,0.9862000006251037,226.8709024339206,True,2
cvrplib_Vrp-All_P-n22-k8,21,Greedy,0.15369999164249748,801.972006794465,True,9
cvrplib_Vrp-All_P-n22-k8,21,Clarke-Wright,0.29179999546613544,590.6210234857078,True,9
cvrplib_Vrp-All_P-n22-k8,21,Sweep,0.15129998791962862,669.6805961499649,True,10
cvrplib_Vrp-All_P-n23-k8,22,Greedy,0.15720000374130905,747.5487832206259,True,9
cvrplib_Vrp-All_P-n23-k8,22,Clarke-Wright,0.4574000049615279,539.4753861721704,True,9
cvrplib_Vrp-All_P-n23-k8,22,Sweep,0.13970000145491213,637.6120465391366,True,10
cvrplib_Vrp-All_P-n40-k5.vrp,39,Greedy,0.4275999963283539,634.035944180818,True,5
cvrplib_Vrp-All_P-n40-k5.vrp,39,Clarke-Wright,1.2090999953215942,518.3720297625711,True,5
cvrplib_Vrp-All_P-n40-k5.vrp,39,Sweep,1.123800000641495,503.0868625224526,True,5
cvrplib_Vrp-All_P-n45-k5,44,Greedy,0.5330999993020669,708.4398890740079,True,5
cvrplib_Vrp-All_P-n45-k5,44,Clarke-Wright,1.1974999943049625,572.9516989585303,True,5
cvrplib_Vrp-All_P-n45-k5,44,Sweep,1.8998000014107674,586.1745695573703,True,5
cvrplib_Vrp-All_P-n50-k10,49,Greedy,0.5907000013394281,910.4321820279489,True,10
cvrplib_Vrp-All_P-n50-k10,49,Clarke-Wright,1.3128999999025837,734.3240694057523,True,11
cvrplib_Vrp-All_P-n50-k10,49,Sweep,0.673700007610023,816.523980324372,True,11
cvrplib_Vrp-All_P-n50-k7,49,Greedy,0.5328999977791682,803.6834899376746,True,7
cvrplib_Vrp-All_P-n50-k7,49,Clarke-Wright,1.1615000112215057,597.028760860847,True,7
cvrplib_Vrp-All_P-n50-k7,49,Sweep,1.2709000002359971,631.604996535099,True,7
cvrplib_Vrp-All_P-n50-k8,49,Greedy,0.5074999935459346,941.0925660504479,True,9
cvrplib_Vrp-All_P-n50-k8,49,Clarke-Wright,1.1744000075850636,674.3390281267323,True,9
cvrplib_Vrp-All_P-n50-k8,49,Sweep,0.7979000074556097,725.657823728542,True,9
cvrplib_Vrp-All_P-n51-k10,50,Greedy,0.524500006577,907.305808389032,True,10
cvrplib_Vrp-All_P-n51-k10,50,Clarke-Wright,1.2170999980298802,790.9721568818059,True,11
cvrplib_Vrp-All_P-n51-k10,50,Sweep,0.6059000006644055,861.2705592278069,True,12
cvrplib_Vrp-All_P-n55-k10,54,Greedy,0.5689999961759895,900.2084800051429,True,10
